ERNv,Host,HighTaxon,LowTaxon,Virus,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,CreationDate,ModificationDate,ProvinceA,PathogenValue
39,Aedes fulvus pallens,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,10/27/2099,,
40,Aedes nigromaculis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
41,Aedes sierrensis,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
42,Aedes sierrensis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
43,Aedes sollicitans,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
44,Aedes sticticus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
45,Aedes sticticus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
1350,Aedes taeniorhynchus,DNA virus,Iridoviridae,Aedes taeniorhynchus IV (Blue-Green),Larva,,Field,USA,,1/8/2096,2/12/2099,,
46,Aedes taeniorhynchus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
47,Aedes taeniorhynchus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
48,Aedes tormentor,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
49,Aedes triseriatus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
50,Aedes triseriatus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
51,Aedes vexans,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
52,Aedes vexans,DNA virus,Parvoviridae,DNV,,,,,,1/8/2096,2/12/2099,,
53,Anopheles albimanus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
54,Anopheles bradleyi,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
55,Anopheles crucians,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
56,Anopheles crucians,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
57,Anopheles freeborni,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
58,Anopheles quadrimaculatus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
59,Anopheles quadrimaculatus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
60,Anopheles stephensi,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
61,Culex erraticus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
62,Culex peccator,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
63,Culex peccator,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
64,Culex pipiens,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
65,Culex quinquefasciatus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
66,Culex restuans,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
67,Culex salinarius,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
68,Culex salinarius,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
69,Culex salinarius,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
70,Culex tarsalis,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
71,Culex territans,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
72,Culex territans,DNA virus,Iridoviridae,Culex territans IV,,,,USSR,,1/8/2096,2/12/2099,,
73,Aedes cantans,DNA virus,Iridoviridae,Aedes cantans IV Type 4,,,,USSR,,1/8/2096,2/12/2099,,
74,Culiseta inornata,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
75,Culiseta inornata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
76,Culiseta melanura,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
77,Culiseta melanura,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
78,Culiseta morsitans,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
79,Orthopodomyia signifera,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
80,Psorophora confinnis,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
81,Psorophora confinnis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
82,Psorophora confinnis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
83,Psorophora ferox,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
84,Psorophora ferox,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
85,Psorophora ferox,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
86,Psorophora horrida,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
87,Psorophora varipes,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
88,Psorophora varipes,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
89,Uranotaenia sapphirina,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
90,Uranotaenia sapphirina,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
91,Wyeomyia smithii ,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
92,Rhynchosciara angelae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
93,Rhynchosciara hollaenderi,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
94,Rhynchosciara milleri,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
95,Prosimulium mixtum,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
96,Simulium ornatum,DNA virus,Iridoviridae,Simulium ornatum IV Type 7,,,,,,1/8/2096,2/12/2099,,
97,Simulium tuberosum,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
98,Simulium venustum,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
99,Exorista sorbillans,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
100,Blepharipa zebina,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
101,Tipula livida,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
102,Tipula oleracea,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
103,Tipula paludosa,DNA virus,Iridoviridae,Tipula paludosa IV Type 1,,,,,,1/8/2096,2/12/2099,,
104,Tipula paludosa,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
105,Lethocerus columbiae,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
106,Colladonus montanus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
107,Nephotettix cincticeps,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
108,Laodelphax striatellus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
109,Apis cerana,DNA virus,Iridoviridae,IV,,,Field,Japan,,1/8/2096,2/12/2099,,
110,Apis mellifera,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
111,Arge pectoralis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
112,Diprion nipponica,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
113,Diprion pini,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
114,Diprion similis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
115,Gilpinia hercyniae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,"NF, NS, PE, NB, QC, ON",Useful control agent
116,Diprion pallida,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
117,Diprion pindrowi,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
118,Diprion polytoma,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
119,Neodiprion abietis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,"QC, MB, SK, AB",Unknown
120,Neodiprion excitans,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
121,Neodiprion lecontei,DNA virus,Baculoviridae,Neodiprion lecontei NPV,,,,,,1/8/2096,2/12/2099,"QC, ON",Useful control agent
122,Neodiprion merkeli,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
123,Neodiprion nanulus contortae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
124,Neodiprion pratti banksianae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
125,Neodiprion sertifer,DNA virus,Baculoviridae,Neodiprion sertifer NPV,,,Field,"Japan, Canada",,1/8/2096,2/12/2099,ON,Useful control agent
126,Neodiprion swainei,DNA virus,Baculoviridae,Neodiprion swainei NPV,,,,,,1/8/2096,2/12/2099,QC,Useful control agent
127,Neodiprion taedae linearis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
128,Neodiprion taedae taedae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
129,Neodiprion virginiana,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
130,Iridomyrmex itoi,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
131,Cephalcia abietis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
132,Cephalcia issiki,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
133,Sirex juvencus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
134,Sirex noctilio,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
135,Urocerus gigas gigas,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
136,Urocerus tardigradus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
137,Xeris spectrum,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
138,Anoplonyx destructor,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
139,Nematus olfaciens,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
140,Pikonema dimmockii,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
141,Pristiphora erichsonii,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
1351,Pristiphora geniculata,DNA virus,Baculoviridae,NPV,Larva,midgut,Field,Canada,,1/8/2096,2/12/2099,QC,Unknown
142,Trichiocampus irregularis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
143,Trichiocampus viminalis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
144,Anthela varia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
145,Pterolocera amplicornis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
146,Amsacta albistriga,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
147,Amsacta moorei,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
148,Arctia caja,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
149,Arctia caja,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
150,Arctia villica,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
151,Arctia villica,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
152,Ardices glatignyi,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
153,Diaphora mendica,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
154,Diaphora mendica,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
155,Hypercompe icasia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
156,Estigmene acrea,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
157,Estigmene acrea,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
158,Euplagia quadripunctaria,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
159,Lophocampa argentata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
160,Lophocampa caryae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
161,Hyphantria cunea,DNA virus,Baculoviridae,NPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
162,Hyphantria cunea,RNA virus,Reoviridae,CPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
163,Tyria jacobaeae,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
164,Tyria jacobaeae,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
165,Pyrrharctia isabella,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
166,Panaxia dominula,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
167,Panaxia dominula,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
168,Parasemia plantaginis,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
169,Pericallia ricini,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
170,Phragmatobia fuluginosa,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
171,Rhyparia purpurata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
172,Rhyparia purpurata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
173,Spilarctia flammeolus,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
174,Spilosoma lubricipeda,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
175,Spilosoma lubricipeda,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
176,Spilosoma lubricipeda,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
177,Spilosoma subcarnea,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
178,Spilosoma subcarnea,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
179,Spilosoma lutea,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
180,Spilosoma punctaria,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
181,Spilosoma punctaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
182,Bombyx mori,RNA virus,Reoviridae,CPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
183,Bombyx mori,DNA virus,Baculoviridae,Bombyx mori NPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
184,Bombyx mori,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
185,Carposina niponensis,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
186,Coleophora laricella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
187,Danaus plexippus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
188,Phryganidia californica,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
189,Falcaria lacertinaria,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
190,Ethmia assamensis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
191,Brachmia macroscopa,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
192,Pectinophora gossypiella,RNA virus,Reoviridae,CPV,,,Field,"Japan, China",,1/8/2096,2/12/2099,,
193,Pectinophora gossypiella,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
194,Phthorimaea operculella,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
195,Abraxas grossulariata,DNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
196,Abraxas grossulariata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
197,Alsophila pometaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
198,Alsophila pometaria,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
199,Biston betularia cognataria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
200,Aplocera plagiata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
201,Aplocera plagiata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
202,Thallophaga hyperborea,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
203,Apocheima pilosaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
204,Biston betularia,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
205,Biston betularia,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
206,Biston hirtaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
207,Biston hispidaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
208,Biston robustum,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,
209,Biston strataria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
210,Boarmia bistortata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
211,Bupalus piniarius,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
212,Bupalus piniarius,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
213,Calospilos miranda,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
214,Carecomotis repulsaria,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
215,Caripeta divisata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
216,Crocallis elinguaria,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
217,Cystidia stratonice stratonice,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
218,Ennomos quercaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
219,Ennomos quercinaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
220,Ennomos subsignaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
221,Enypia venata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
222,Erannis defoliaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
223,Erannis tiliaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
224,Erannis tiliaria,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
225,Erannis tiliaria vancouverensis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
226,Eupithecia longipalpata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
227,Gonodontis arida,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
228,Heterolocha aristonaria niphonica,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
229,Lambdina fiscellaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
230,Lambdina fiscellaria lugubrosa,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
231,Lambdina fiscellaria somniaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
232,Nepytia freemani,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
233,Nepytia phantasmaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
234,Operophtera bruceata,DNA virus,Baculoviridae,Operophtera bruceata NPV,,,,,,1/8/2096,2/12/2099,"NS, NB, QC, ON, MB, SK, AB, BC",Useful control agent
235,Operophtera bruceata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
236,Operophtera brumata,RNA virus,Reoviridae,CPV,,,Field,Japan,,1/8/2096,2/12/2099,,
237,Operophtera brumata,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,"NS, BC",Insignificant control agent
238,Operophtera fagata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
239,Opisthograptis luteolata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
240,Epirrita autumnata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
241,Epirrita autumnata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
242,Ourapteryx sambucaria,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
243,Paleacrita vernata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
244,Paleacrita vernata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
245,Peribatodes simplicaria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
246,Pero behrensarius,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
247,Phigalia titea,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
248,Protoboarmia porcelaria indicataria,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
249,Ptychopoda seriata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
250,Scopula sp.,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
251,Selenia lunaria,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
252,Selidosema suavis,DNA virus,Baculoviridae,NPV,,,,New Zealand,,1/8/2096,2/12/2099,,
253,Semiothisa liturata,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
254,Synaxis pallulata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
255,Parectopa geometropis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,
256,Hepialus lupulinus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,
257,Wiseana cervinata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
258,Wiseana signata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
259,Wiseana umbraculata,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
260,Epargyreus clarus,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,
261,Parnara guttata,DNA virus,Iridoviridae,IV,,,Field,Japan,,1/8/2096,2/12/2099,,
